PMID,Treatment,Diagnosis,Prevention,Mechanism,Transmission,Epidemic Forecasting,Case Report
32831536,0,0,1,0,0,0,0
33014364,1,0,0,0,0,0,0
32977564,0,0,1,0,0,0,0
32506762,0,0,1,0,0,0,0
32689926,0,0,1,0,0,0,0
32578794,1,1,0,0,1,0,0
32983347,0,1,0,1,0,0,0
32328170,0,0,0,0,0,0,1
33004712,1,0,0,0,0,0,0
33062082,1,1,0,0,0,0,0
32946641,0,0,1,0,0,0,0
32411315,0,0,1,0,0,0,0
33000526,0,0,0,0,0,0,1
32601708,1,1,0,0,0,0,0
32746913,1,0,0,0,0,0,0
32791382,0,1,0,0,0,0,0
32517815,0,0,1,0,0,0,0
32179106,0,0,1,0,0,0,0
33046288,1,0,1,0,0,0,0
32534042,0,1,0,0,1,0,0
32889227,0,0,1,0,0,0,0
32805566,0,0,0,0,1,0,0
32837145,0,0,1,0,0,0,0
32548597,0,0,1,0,0,0,0
32510748,0,0,1,0,0,0,0
32696396,1,0,0,0,0,0,0
33043314,0,0,1,0,0,0,0
32716230,0,0,1,0,0,0,0
32094589,0,0,0,1,0,0,0
32564983,0,0,1,0,0,0,0
32496252,1,1,0,0,0,0,0
32642834,0,0,1,0,0,0,0
32382932,0,0,1,0,0,0,0
32560665,1,0,0,0,0,0,0
33040272,1,1,0,0,0,0,0
32966822,0,0,1,0,0,0,0
33002544,0,0,1,0,0,0,0
32931058,0,1,0,1,0,0,0
33073216,1,1,0,0,0,0,0
32880453,0,1,0,0,0,0,0
32497283,0,0,0,0,0,0,1
32778891,1,0,0,0,0,0,0
32762374,0,0,0,0,0,0,1
32731282,1,1,0,1,0,0,0
32833781,0,0,1,0,0,0,0
32938349,1,0,0,0,0,0,0
32991329,1,1,0,1,0,0,0
32799761,1,0,0,1,0,0,0
32719202,1,1,1,0,0,0,0
32778622,1,0,1,0,0,0,0
33032575,0,1,1,0,1,0,0
32568724,0,0,1,0,0,0,0
33062077,1,0,0,1,0,0,0
32341622,0,0,0,1,0,0,0
32565899,0,0,1,0,0,0,0
32894859,1,1,0,0,0,0,0
32905141,0,0,1,0,0,0,0
32881593,1,0,0,0,0,0,0
32466392,0,0,1,0,0,0,0
33077917,1,1,0,1,0,0,0
33015823,0,1,0,0,0,0,0
32462267,1,1,0,1,0,0,0
32651900,0,0,0,1,0,0,0
32669540,0,1,0,0,0,0,0
32582328,0,0,1,0,0,0,0
32894654,0,1,1,0,0,0,0
32413319,1,0,0,1,0,0,0
32750889,1,0,0,1,0,0,0
32476574,1,0,0,1,0,0,0
32708495,0,0,1,0,0,0,0
33031467,0,0,1,0,0,0,0
32981448,0,0,1,0,0,0,0
32361692,0,0,0,1,0,0,0
32857836,1,0,0,0,0,0,0
32665962,1,0,0,1,0,0,0
32964098,1,0,0,0,0,0,0
32452670,0,0,0,1,0,0,0
32234464,0,0,1,0,0,0,0
32745177,0,0,1,0,1,0,0
32963090,1,1,0,0,0,0,0
32835294,0,0,0,0,0,0,1
32880722,0,1,1,0,0,0,0
32899439,1,0,0,1,0,0,0
33009081,0,1,0,0,0,0,0
32697126,0,0,1,0,0,0,0
32908494,1,1,0,0,0,0,0
32837878,0,0,0,0,0,0,1
32887592,0,0,1,0,0,0,0
33045235,0,1,0,0,0,0,0
32728975,1,0,1,0,0,0,0
32541245,0,0,0,0,0,0,1
32394481,1,0,1,0,0,0,0
32656888,1,1,0,0,0,0,0
32216114,1,0,0,1,0,0,0
32562912,1,1,0,0,0,0,0
33001577,0,0,0,0,0,0,1
32973814,1,0,0,1,0,0,0
32874906,0,0,0,0,0,0,1
32758864,0,0,1,0,1,0,0
32616763,1,0,0,1,0,0,0
32870239,0,0,1,0,1,0,0
32590819,1,0,0,0,0,0,0
32951577,1,0,0,1,0,0,0
32340583,0,0,1,0,0,0,0
32605780,1,0,0,0,0,0,0
32415348,0,0,1,0,0,0,0
32654885,0,0,1,0,0,0,0
32589645,0,0,1,0,0,0,0
32427529,0,0,1,0,0,0,0
32453494,0,1,0,1,0,0,0
32187464,1,0,0,0,0,0,0
32733733,0,0,0,0,0,0,1
32360733,0,0,1,0,0,0,0
32703816,0,1,0,0,0,0,0
33015424,0,0,1,0,0,1,0
32316979,0,0,1,0,0,0,0
32837568,0,0,1,0,0,0,0
32654921,1,1,0,0,0,0,0
32529517,1,1,0,1,0,0,0
32405329,0,0,0,0,0,0,1
32656711,0,0,0,0,0,0,1
32442287,1,0,0,1,0,0,0
32862111,1,0,0,0,0,0,0
32425489,1,0,1,0,0,0,0
32712629,1,0,0,1,0,0,0
32290644,0,1,0,0,0,0,0
32445872,1,0,0,1,0,0,0
32376392,1,0,0,1,0,0,0
32595353,1,0,0,1,0,0,0
32489708,1,1,0,0,0,0,0
32607399,0,0,1,0,0,0,0
32785710,1,0,0,0,0,0,0
32449043,0,0,1,0,0,0,0
33043967,1,1,0,1,0,0,0
32791999,0,0,1,0,0,0,0
32617527,1,0,0,1,0,0,0
32508193,1,1,0,0,0,0,0
32388565,1,0,0,1,0,0,0
32873749,1,0,1,0,0,0,0
32889160,0,0,0,0,0,0,1
32265088,0,0,1,0,0,0,0
32986819,0,1,0,0,0,0,0
33065354,0,0,1,0,0,0,0
32419658,0,0,1,0,0,0,0
32629915,0,0,1,0,0,0,0
32329879,1,0,0,0,0,0,0
32970384,0,0,1,0,0,0,0
32565632,1,0,1,0,0,0,0
32699574,0,0,1,0,0,0,0
32804597,1,0,0,1,0,0,0
33015939,1,1,0,0,0,0,0
32791497,1,0,0,1,0,0,0
33029489,0,1,0,0,0,0,0
32588067,1,0,0,0,0,0,0
32485164,1,0,0,1,0,0,0
32979425,1,1,0,0,0,0,0
32455777,0,0,1,0,0,0,0
32910826,0,1,0,0,0,0,0
32941418,0,0,1,0,1,0,0
32802755,0,0,1,0,0,0,0
32369191,1,0,0,0,0,0,0
32925756,1,0,0,0,0,0,0
32618839,0,0,0,0,0,0,1
32648289,0,0,1,0,0,0,0
32905851,0,1,0,1,0,0,0
32678728,0,0,1,0,0,0,0
33045354,1,0,0,0,0,0,0
32312021,0,0,1,0,0,0,0
32198163,1,0,0,0,0,0,0
32519768,0,0,0,0,0,0,1
32920162,1,1,0,0,0,0,0
33062500,1,0,0,0,0,0,0
32562665,0,1,0,0,0,0,0
32653423,1,1,0,0,0,0,0
32285293,1,0,0,1,0,0,0
32851129,1,1,0,0,0,0,0
33040422,0,0,1,0,0,0,0
32533777,1,1,0,0,0,0,0
32717807,1,0,1,1,0,0,0
32350632,0,0,0,1,0,0,0
32747155,1,1,1,0,0,0,0
32697346,0,0,1,0,1,0,0
32979342,0,0,0,0,0,0,1
32756549,1,0,0,1,0,0,0
32844713,1,0,0,1,0,0,0
32662333,1,0,0,1,0,0,0
32203970,1,0,0,1,1,0,0
32879862,1,1,0,0,0,0,0
32755231,0,0,1,0,0,0,0
32489024,1,0,0,0,0,0,0
32252784,0,1,0,0,0,0,0
32866831,0,0,0,0,1,0,0
32643783,0,0,1,0,0,0,0
32842277,0,0,1,0,0,1,0
32479798,0,0,1,0,0,0,0
32432169,0,0,1,0,0,0,0
32416069,1,1,0,0,0,0,0
33036812,0,0,1,0,0,0,0
32804917,0,0,0,0,0,0,1
32876246,0,0,1,0,0,0,0
32826428,0,1,0,0,0,0,0
32574896,0,1,0,0,0,0,0
32539346,0,1,0,0,0,0,0
32764148,1,0,0,1,0,0,0
32445512,0,1,0,0,0,0,0
32617968,0,0,1,0,0,0,0
32531684,0,0,1,0,0,0,0
32958969,0,1,0,0,0,0,0
32692753,0,0,1,0,0,1,0
32479844,0,0,1,0,0,0,0
32678494,0,1,0,0,0,0,0
32251768,1,0,0,1,0,0,0
32937659,0,0,1,0,0,0,0
32391519,1,0,0,0,0,0,0
32803387,0,1,0,0,0,0,0
32617738,0,1,0,0,0,0,0
32957030,0,0,1,0,0,0,0
32837088,0,0,1,0,0,1,0
32553716,0,0,0,1,0,0,0
32404225,0,0,1,0,0,0,0
32692700,1,0,0,0,0,0,0
32837183,0,0,0,0,0,1,0
32501301,0,0,1,0,0,0,0
32821907,0,1,0,0,0,0,0
32363343,0,0,1,0,0,0,0
32487907,0,0,1,0,0,0,0
32641121,1,1,0,0,0,0,0
32896192,1,0,0,1,0,0,0
32649023,0,0,0,1,1,0,0
32852403,0,0,0,0,0,0,1
32987024,0,0,0,0,0,0,1
32931726,0,0,1,0,0,0,0
32926680,0,0,0,0,0,0,1
32426311,0,0,1,0,0,0,0
32568675,0,1,0,0,0,0,0
32753794,0,0,1,0,0,0,0
32396137,0,0,1,0,0,0,0
32320506,1,0,0,0,0,0,0
32663351,0,0,1,0,0,0,0
33039226,0,0,1,0,0,0,0
32610731,0,0,1,0,0,0,0
32941052,0,0,1,0,1,0,0
32459578,0,0,1,0,0,0,0
32584236,1,1,0,0,0,0,0
32472216,0,0,1,0,0,0,0
32227197,0,0,0,0,0,0,1
32620591,0,0,1,0,0,0,0
32491888,0,0,0,0,0,1,0
32784530,0,0,1,0,0,0,0
32728466,0,0,1,0,0,0,0
32376634,1,0,0,1,0,0,0
32836811,0,0,0,1,0,0,0
32745604,1,0,0,1,0,0,0
32619327,0,0,1,0,0,0,0
32425473,0,0,1,0,0,0,0
32650838,0,0,0,0,1,1,0
32822955,0,0,1,0,0,0,0
32778160,0,0,1,0,0,0,0
32601849,0,0,1,0,0,0,0
32917566,0,0,1,0,0,0,0
32703320,0,1,0,0,0,0,0
32542750,0,1,0,0,0,0,0
32438620,1,0,0,1,0,0,0
32301206,0,0,1,0,0,0,0
32845869,0,0,1,0,0,0,0
32311652,0,0,1,0,0,0,0
32645974,1,0,0,1,0,0,0
31992387,0,1,0,0,0,0,0
32735013,0,0,1,0,0,0,0
32579306,0,0,1,0,0,0,0
32382161,0,0,1,0,0,0,0
32390285,0,1,0,0,0,0,0
32475873,0,0,1,0,1,0,0
33062952,1,0,0,1,0,0,0
32775114,0,0,0,0,0,0,1
32838092,0,0,1,0,0,0,0
32880651,1,1,0,0,0,0,0
32437768,1,1,0,0,0,0,0
32813273,0,1,0,0,0,0,0
32970769,0,0,1,0,0,0,0
32836489,0,0,1,0,0,0,0
32828569,1,1,0,0,0,0,0
32899277,0,0,1,0,0,0,0
32438895,0,0,1,0,0,0,0
33071116,0,0,1,0,0,0,0
32818071,0,0,1,0,0,0,0
32484584,1,0,1,0,0,0,0
32691016,0,0,1,0,0,1,0
33045425,0,0,1,0,0,0,0
32835105,1,0,0,0,0,0,0
32565030,1,0,0,0,0,0,0
32835005,0,0,0,1,0,0,0
32730214,0,1,0,0,0,0,0
32906596,0,1,0,0,0,0,0
32699026,1,1,0,1,0,0,0
32665655,0,0,1,0,0,1,0
32935644,1,1,0,0,0,0,0
32617266,0,0,1,0,0,1,0
33033392,0,0,1,0,0,0,0
32442256,0,1,0,0,0,0,0
33035296,0,0,1,0,0,0,0
32974994,1,1,0,0,0,0,0
32498762,1,1,0,1,0,0,0
32733839,0,0,1,0,0,0,0
32702389,0,0,1,0,0,0,0
32674742,0,0,1,0,0,1,0
32847818,0,1,0,0,0,0,0
32595085,1,0,0,1,0,0,0
32442842,0,0,1,0,0,1,0
32393767,0,0,1,0,0,0,0
32837725,0,0,0,0,0,0,1
32688039,0,0,1,0,0,0,0
32322313,0,0,1,0,0,0,0
32645632,1,0,0,1,0,0,0
32392587,0,0,1,0,0,0,0
32553273,1,0,0,1,0,0,0
32834792,1,0,0,1,0,0,0
32525371,0,0,1,0,0,0,0
32729110,0,0,0,0,0,0,1
32607305,0,0,1,0,0,0,0
32701511,1,1,0,1,0,0,0
32822916,0,0,1,0,0,0,0
33073348,1,0,0,0,0,0,0
32409434,1,0,0,1,0,0,0
32222119,0,1,0,1,0,0,0
32876127,0,0,1,0,0,0,0
32687168,0,1,0,0,0,0,0
32557250,0,0,1,0,0,0,0
32801369,0,0,1,0,0,0,0
33024411,0,0,1,0,0,1,0
32956871,1,1,0,0,0,0,0
32443683,0,0,1,0,0,0,0
33079200,1,0,0,0,0,0,0
32313296,1,0,0,1,0,0,0
32530597,0,1,0,1,0,0,0
32578859,0,0,1,0,0,0,0
32866433,1,1,0,0,0,0,0
32837728,0,1,0,1,0,0,0
32472461,1,0,0,0,0,0,0
32295652,0,0,1,0,0,0,0
32387102,0,0,1,0,0,0,0
32994625,0,0,1,0,0,0,0
32660813,1,1,0,0,0,0,0
32786080,0,1,0,0,0,0,0
32768768,0,0,1,0,0,0,0
32870787,1,1,0,0,0,0,0
32501877,0,0,0,0,0,0,1
32817375,1,0,0,0,0,0,0
32471903,1,1,0,0,0,0,0
32562477,0,0,1,0,0,1,0
33046303,1,1,0,0,0,0,0
33051497,1,0,0,0,0,0,0
32334082,0,0,0,1,0,0,0
32600868,1,0,0,1,0,0,0
32632417,1,1,0,0,0,0,0
32794209,0,1,0,0,0,0,0
32715376,0,0,0,0,0,0,1
32895161,1,1,0,0,0,0,0
32713387,1,0,0,0,0,0,0
32727176,0,1,0,1,0,0,0
32556265,0,0,1,0,1,0,0
32406778,1,0,0,0,0,0,0
32880635,0,0,1,0,0,0,0
32864299,1,0,0,1,0,0,0
32767296,0,0,1,0,0,0,0
32379731,0,0,1,0,1,0,0
32696861,0,1,0,0,0,0,0
33031760,1,1,0,0,0,0,0
32620597,1,1,0,0,0,0,0
32822413,1,1,0,0,0,0,0
32429432,0,0,1,0,0,0,0
32321823,0,0,0,1,0,0,0
32969721,0,0,1,0,0,0,0
32716758,0,0,1,0,0,0,0
32340737,0,0,1,0,0,0,0
32958397,0,0,1,0,0,0,0
32698230,0,0,1,0,0,0,0
32983698,1,1,0,0,0,0,0
32967887,1,1,0,0,0,0,0
33071481,0,1,1,0,0,0,0
32576357,1,0,0,1,0,0,0
32726355,1,0,0,1,0,0,0
32712222,1,1,0,0,0,0,0
32403217,1,1,0,1,0,0,0
32496248,0,0,1,0,0,1,0
32878898,0,1,1,0,0,0,0
32679621,0,1,0,1,0,0,0
32878680,0,0,0,0,0,1,0
32968550,0,0,1,0,0,1,0
32966645,0,1,0,0,0,0,0
32680942,1,1,0,0,0,0,0
32475104,0,0,0,0,0,0,1
32370621,0,0,1,0,0,0,0
32610364,1,1,0,0,0,0,0
32642770,1,0,0,1,0,0,0
32538806,0,0,1,0,0,0,0
33029451,1,1,0,0,1,0,0
32322159,0,0,1,0,0,0,0
32396455,0,0,1,0,0,0,0
32921921,0,0,1,0,0,1,0
32735721,1,1,0,1,0,0,0
32671840,0,0,1,0,0,0,0
32340268,0,0,1,0,0,0,0
32302370,0,0,1,0,0,0,0
32892061,0,1,0,0,0,0,0
32449169,0,0,1,0,0,0,0
33053426,1,1,0,0,0,0,0
33032267,0,1,0,0,0,0,0
33017171,0,0,1,0,0,0,0
32759894,1,0,0,0,0,0,0
33070955,0,1,0,0,0,0,0
32430957,1,1,0,0,1,0,0
32989673,1,1,0,0,0,0,0
33829212,0,0,1,0,0,0,0
32234131,0,1,0,0,0,0,0
32741425,0,0,1,0,0,0,0
33026649,1,0,0,1,0,0,0
33064982,1,0,0,0,0,0,0
32462468,0,0,1,0,0,0,0
32405084,0,0,1,0,0,0,0
32213269,0,1,1,0,1,0,0
32763662,1,0,0,1,0,0,0
32410810,0,0,1,0,0,0,0
32787701,1,1,0,0,0,0,0
32811936,0,0,1,0,0,0,0
32779705,0,0,0,0,0,0,1
32553507,0,0,1,0,0,0,0
32895594,0,0,1,0,0,0,0
32367767,1,0,0,1,0,0,0
32409436,1,0,0,0,0,0,0
32463475,0,1,0,0,0,0,0
32744615,0,0,1,0,0,0,0
32474553,0,0,0,1,0,0,0
32358044,0,0,1,0,0,0,0
32248575,1,0,0,1,0,0,0
32428075,0,0,1,0,0,0,0
32979576,0,1,0,0,0,0,0
32980199,0,0,1,0,0,0,0
33038435,0,1,1,0,0,0,0
33042322,0,0,0,0,0,0,1
32385614,0,0,1,0,0,0,0
32874019,0,0,1,0,0,0,0
32983259,1,0,0,1,0,0,0
32910735,0,0,1,0,0,0,0
32982938,0,0,1,0,0,0,0
32217506,0,0,1,0,0,0,0
32634229,0,1,0,0,0,0,0
32420777,0,0,0,0,0,0,1
32837855,1,1,0,1,0,0,0
32952617,1,0,0,0,0,0,0
32405236,0,1,0,1,0,0,0
32330351,0,0,1,0,0,0,0
33025521,0,1,0,0,0,0,0
32864124,0,0,1,0,0,0,0
32729461,0,0,1,0,0,0,0
33021901,0,0,1,0,0,0,0
32735885,1,1,0,0,0,0,0
32075364,1,0,0,1,0,0,0
32384707,0,0,1,0,0,0,0
32447193,1,1,0,0,0,0,0
32292915,0,0,0,0,0,0,1
32573730,0,1,1,0,0,0,0
33066878,1,0,1,0,0,0,0
32556078,0,0,1,0,0,0,0
32917258,0,0,1,0,0,0,0
32431052,0,1,0,0,0,0,0
32423359,0,1,0,0,0,0,0
32552296,0,0,1,0,1,0,0
32723801,1,0,0,0,0,0,0
32975884,0,1,0,0,0,0,0
32669298,0,0,1,0,0,0,0
33054582,0,1,1,0,0,0,0
32879814,0,0,0,0,0,0,1
32443380,0,0,1,0,0,0,0
32836600,0,0,1,0,0,1,0
32556892,1,0,0,0,0,0,0
33045075,0,0,1,0,1,0,0
32871886,0,0,1,0,0,0,0
32476644,0,0,1,0,0,0,0
32796159,1,1,0,0,0,0,0
32167180,0,0,0,1,0,0,0
32941641,1,0,1,0,0,0,0
32815458,1,1,0,0,0,0,0
32437942,0,0,1,0,0,0,0
32351831,1,0,1,0,0,0,0
32312362,0,0,1,0,0,0,0
32402764,0,0,1,0,0,0,0
32683945,1,0,1,0,0,0,0
32694268,0,0,1,0,0,0,0
32243297,1,0,0,1,0,0,0
32509294,0,0,1,0,0,0,0
32998213,0,1,1,0,0,0,0
33071164,0,1,0,0,0,0,0
32819043,0,0,1,0,0,0,0
32972338,1,0,0,1,0,0,0
32696720,1,0,0,1,0,0,0
32466523,0,1,0,0,0,0,0
33080541,0,0,0,0,0,0,1
32704177,0,0,1,0,0,0,0
32580130,0,0,1,0,0,0,0
32867708,1,0,0,0,0,0,0
32837880,0,0,0,0,0,0,1
32821623,0,0,1,0,0,0,0
32423903,1,1,0,0,0,0,0
32877350,0,0,1,0,0,1,0
32735134,0,0,0,0,0,0,1
32931517,0,1,0,0,0,0,0
32535398,0,1,0,0,0,0,0
32227090,1,0,0,1,0,0,0
32313806,1,1,1,1,1,0,0
32574297,0,1,0,0,0,0,0
32962703,1,1,0,0,0,0,0
32900752,0,0,0,0,0,0,1
32334157,0,0,1,0,0,1,0
32671354,0,0,1,0,0,0,0
32907663,0,0,1,0,0,0,0
32874698,0,0,1,0,0,0,0
32613681,1,0,0,1,0,0,0
32740064,0,1,1,0,1,0,0
32031570,0,0,0,1,1,0,0
32437066,0,0,1,0,0,0,0
32657643,1,0,0,1,0,0,0
32574694,1,1,0,0,0,0,0
32562554,1,1,0,0,0,0,0
32407227,0,0,1,0,0,0,0
32840325,1,1,0,0,0,0,0
32608474,0,0,1,0,0,0,0
32216550,0,0,1,0,0,0,0
32478959,1,0,0,0,0,0,0
32520071,1,0,0,0,0,0,0
33064642,0,1,0,0,0,0,0
32812897,0,0,0,0,0,1,0
32792048,1,0,1,0,0,0,0
32834252,0,0,0,0,0,1,0
33043311,0,1,0,0,0,0,0
32445417,0,0,1,0,0,0,0
32912643,0,0,1,0,0,0,0
33059413,1,1,0,0,0,0,0
32527699,1,0,0,1,0,0,0
32840646,0,0,1,0,0,0,0
32480009,0,0,0,0,0,0,1
32838286,0,1,0,0,0,0,0
32838362,0,0,0,1,0,0,0
32980228,0,0,0,0,0,0,1
32545647,0,0,1,0,0,0,0
32729460,0,0,0,0,0,0,1
32923158,1,0,0,1,0,0,0
32327870,1,0,1,0,0,0,0
32665052,1,1,0,0,0,0,0
32488888,1,1,0,0,0,0,0
32808712,1,0,0,0,0,0,0
32501142,0,0,1,0,0,0,0
32708755,1,0,0,1,0,0,0
32881014,0,0,1,0,0,0,0
32924059,1,1,0,0,0,0,0
32763302,1,0,0,1,0,0,0
32734855,0,1,0,0,0,0,0
32388390,1,0,0,1,0,0,0
32716073,1,1,0,0,0,0,0
32450629,1,0,0,0,0,0,0
32524946,0,0,0,1,0,0,0
32483497,0,0,0,0,0,0,1
32408730,0,0,1,0,0,0,0
32837809,1,0,1,0,0,0,0
32729554,0,1,0,0,0,0,0
32835212,1,0,0,0,0,0,0
32789988,1,1,0,0,0,0,0
32620549,0,0,1,0,0,0,0
33054481,1,0,1,0,0,0,0
32697172,0,0,1,0,0,0,0
32784190,0,0,1,0,0,0,0
32650037,0,1,0,0,0,0,0
32445031,0,0,1,0,0,0,0
32518987,0,1,0,0,0,0,0
32985971,0,0,1,0,0,0,0
32453687,1,0,0,0,0,0,0
33039258,0,0,1,0,0,0,0
33076739,0,0,1,0,0,0,0
32585282,0,0,1,0,0,0,0
32710571,0,0,0,1,0,0,0
32342878,0,0,1,0,0,0,0
32464662,0,0,1,0,0,0,0
32925135,0,0,1,0,0,0,0
33026419,0,0,1,0,0,0,0
32532753,1,1,1,0,0,0,0
32661716,0,0,1,0,0,0,0
32657805,0,0,1,0,0,0,0
32660220,0,0,1,0,0,1,0
32977606,1,1,0,0,0,0,0
32421627,0,1,0,0,0,0,0
32668513,0,0,1,0,0,0,0
32590125,0,0,0,0,0,0,1
32680881,0,0,1,0,0,0,0
32683304,0,0,1,0,0,0,0
32246149,0,0,1,0,0,0,0
32895630,0,0,0,0,0,0,1
33040189,1,1,0,0,0,0,0
32923243,0,0,0,0,0,0,1
33024427,0,0,1,0,1,0,0
32921925,0,1,0,0,0,0,0
32238232,1,0,0,1,0,0,0
33063660,0,0,0,0,0,0,1
32994131,1,0,0,0,0,0,0
32798633,0,0,1,0,0,0,0
32823852,0,1,0,0,0,0,0
32238094,1,0,0,1,0,0,0
32399710,0,1,0,0,0,0,0
32876671,0,0,1,0,0,0,0
33050983,0,1,0,0,0,0,0
32642391,0,0,0,0,0,0,1
32894907,1,1,0,0,0,0,0
32831935,0,0,1,0,0,0,0
32405422,1,0,0,0,0,0,0
32595653,1,0,0,1,0,0,0
32560667,0,0,1,0,0,0,0
32912404,1,1,0,0,0,0,0
32198987,0,0,0,0,0,0,1
32293713,1,0,0,0,0,0,0
32562478,0,0,1,0,0,0,0
32499161,0,0,1,0,0,0,0
32281368,0,0,0,1,1,0,0
32777550,1,1,0,0,0,0,0
32623034,0,0,1,0,0,0,0
33070079,1,0,0,0,0,0,0
32505217,1,0,0,0,0,0,0
32870054,0,1,0,1,1,0,0
32661928,1,0,1,0,0,0,0
32614816,0,0,1,0,0,0,0
32238429,0,1,0,0,0,0,0
32452648,0,0,1,0,1,1,0
32865669,0,1,0,0,0,0,0
32270388,0,0,1,0,0,0,0
32485082,1,0,0,1,0,0,0
32239532,0,1,0,0,0,0,0
32394344,1,0,0,0,0,0,0
32881659,1,0,0,1,0,0,0
32568499,0,0,1,0,0,0,0
32576696,0,0,1,0,0,0,0
33037190,0,0,1,0,0,0,0
32847008,1,0,0,1,0,0,0
32503829,0,1,0,0,0,0,0
33045362,0,1,0,0,0,0,0
32839042,0,0,1,0,0,0,0
32619700,1,0,0,0,0,0,0
32936528,1,0,0,0,0,0,0
32503818,0,0,1,0,0,0,0
32335520,0,0,1,0,0,0,0
32871898,1,0,0,0,0,0,0
32481672,0,0,1,0,0,0,0
32931634,1,1,0,0,0,0,0
32496238,1,0,0,0,0,0,0
32984987,1,0,0,1,0,0,0
32744897,0,0,1,0,0,0,0
33022467,0,0,1,0,0,0,0
32791067,0,0,1,0,0,0,0
32813069,0,0,1,0,0,0,0
32380846,0,0,1,0,0,0,0
32728438,1,0,0,0,0,0,0
32862730,0,0,0,0,0,0,1
33048175,1,0,0,0,0,0,0
32768580,1,0,0,1,0,0,0
32897211,1,0,0,1,0,0,0
32834935,0,0,1,0,0,0,0
32501369,0,0,1,0,0,1,0
32438938,0,0,1,0,0,0,0
32872332,1,0,0,1,0,0,0
32366290,1,0,0,0,0,0,0
32974420,0,0,1,0,0,0,0
32524707,0,1,0,0,0,0,0
32535876,0,0,0,0,0,0,1
32346491,1,0,0,0,0,0,0
32819964,0,0,1,0,0,0,0
32802824,0,0,1,0,0,0,0
32371150,0,0,1,0,0,0,0
32407303,0,0,1,0,1,0,0
32677733,0,0,1,0,0,0,0
33038227,1,0,0,0,0,0,0
32496264,0,0,1,0,0,0,0
32856339,1,0,0,1,0,0,0
33063674,1,0,0,1,0,0,0
32896175,1,1,0,0,0,0,0
32425636,1,1,0,0,0,0,0
32794205,1,1,0,0,0,0,0
33039099,0,0,1,0,0,0,0
33071096,1,0,0,0,0,0,0
32703421,0,0,0,1,0,0,0
32422645,1,0,0,1,0,0,0
32620182,0,1,1,0,0,0,0
32641368,0,0,1,0,0,0,0
32921531,0,0,1,0,0,0,0
33034151,0,0,1,1,1,0,0
32881933,0,0,1,0,0,0,0
32944088,1,0,0,0,0,0,0
32641037,1,0,0,1,0,0,0
32800044,1,0,0,0,0,0,0
33060261,0,0,1,0,0,0,0
32556101,1,0,0,1,0,0,0
32839069,0,1,0,0,0,0,0
32963831,0,1,0,0,0,0,0
32289466,0,1,1,0,1,0,0
32352954,0,0,1,0,0,0,0
32780893,1,0,0,0,0,0,0
32424293,0,0,1,0,0,0,0
32386449,1,1,0,0,0,0,0
32807944,0,1,0,1,0,0,0
32393136,1,1,0,1,0,0,0
32669264,0,0,1,0,0,0,0
32603883,0,0,1,0,0,0,0
32108459,1,0,0,0,0,0,0
32921749,0,0,0,0,0,0,1
33078129,0,1,0,0,0,0,0
32604133,0,0,1,0,0,0,0
32371027,0,0,1,0,0,0,0
32969975,0,0,1,0,1,0,0
